Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000196391	342132	ZNF774	Q6NX45	X16298.ENSG00000196391	0.0833738095238095	0.579645193252766	0.923554368045762
ENSG00000196396	5770	PTPN1	P18031	X16299.ENSG00000196396	-0.28185238095238	0.0930513530928397	0.891243722440545
ENSG00000196405	51466	EVL	Q9UI08	X16300.ENSG00000196405	0.312586904761904	0.256627855411962	0.891243722440545
ENSG00000196406	64648	SPANXD	Q9BXN6	X16301.ENSG00000196406	0	1	1
ENSG00000196407	284486	THEM5	Q8N1Q8	X16302.ENSG00000196407	0.0484190476190479	0.889882530303597	1
ENSG00000196408	124056	NOXO1	Q8NFA2	X16303.ENSG00000196408	0.0250523809523809	0.939910404296036	1
ENSG00000196411	2050	EPHB4	P54760	X16304.ENSG00000196411	0.349125	0.142888457364843	0.891243722440545
ENSG00000196415	5657	PRTN3	P24158	X16305.ENSG00000196415	-0.020747619047619	0.716816783804695	0.96385572969925
ENSG00000196417	91661	ZNF765	Q7L2R6	X16306.ENSG00000196417	-0.057184523809524	0.76300990541755	0.976036029696091
ENSG00000196418	7678	ZNF124	Q15973	X16307.ENSG00000196418	0.28267261904762	0.0295834844588384	0.891243722440545
ENSG00000196419	2547	XRCC6	P12956	X16308.ENSG00000196419	-0.0760952380952381	0.279899061358403	0.891243722440545
ENSG00000196420	6276	S100A5	P33763	X16309.ENSG00000196420	0.259740476190476	0.335818500764231	0.891243722440545
ENSG00000196421	284739	C20orf204	A0A1B0GTL2	X16310.ENSG00000196421	-0.148565476190476	0.349725134663641	0.891243722440545
ENSG00000196422	9858	PPP1R26	Q5T8A7	X16311.ENSG00000196422	0.564921428571428	0.016610902456595	0.891243722440545
ENSG00000196427	148545	NBPF4	Q96M43	X16312.ENSG00000196427	-0.0275142857142857	0.437992269132946	0.891243722440545
ENSG00000196428	9819	TSC22D2	O75157	X16313.ENSG00000196428	-0.0185154761904743	0.912130489586687	1
ENSG00000196431	1413	CRYBA4	P53673	X16314.ENSG00000196431	-0.0711273809523809	0.265261704067363	0.891243722440545
ENSG00000196433	438	ASMT	P46597	X16315.ENSG00000196433	-0.0388630952380952	0.683918185960751	0.955508996618714
ENSG00000196436	440348	NPIPB15	A6NHN6	X16316.ENSG00000196436	-0.443616666666666	0.407706511703728	0.891243722440545
ENSG00000196437	148266	ZNF569	Q5MCW4	X16317.ENSG00000196437	0.0889916666666667	0.733726716493329	0.96710822960071
ENSG00000196440	100131755	ARMCX4	Q5H9R4	X16318.ENSG00000196440	0.19162380952381	0.251334442129751	0.891243722440545
ENSG00000196449	79693	YRDC	Q86U90	X16319.ENSG00000196449	0.117928571428571	0.484192789945765	0.892707395134308
ENSG00000196453	27153	ZNF777	Q9ULD5	X16320.ENSG00000196453	-0.196617857142855	0.282851975399987	0.891243722440545
ENSG00000196455	30849	PIK3R4	Q99570	X16321.ENSG00000196455	0.0662369047619054	0.581528570092849	0.924202404272509
ENSG00000196456	285971	ZNF775	Q96BV0	X16322.ENSG00000196456	0.082914285714287	0.718114152348722	0.963990193642034
ENSG00000196458	100289635	ZNF605	Q86T29	X16323.ENSG00000196458	0.486475	0.0732488846592455	0.891243722440545
ENSG00000196459	6399	TRAPPC2	P0DI81	X16324.ENSG00000196459	-0.0607119047619046	0.5202323514964	0.901973128705168
ENSG00000196460	731220	RFX8	Q6ZV50	X16325.ENSG00000196460	0.33075119047619	0.15507606670591	0.891243722440545
ENSG00000196465	140465	MYL6B	P14649	X16326.ENSG00000196465	-0.0155619047619047	0.916704294995541	1
