Ensembl.ID.supplied.by.Ensembl.	NCBI.Gene.ID.supplied.by.NCBI.	Approved.symbol	UniProt.ID.supplied.by.UniProt.	X0Gene	logFC	P.Value	adj.P.Val
ENSG00000184840	54732	TMED9	Q9BVK6	X15224.ENSG00000184840	0.0336394230769227	0.706646940737266	0.94052924045585
ENSG00000184845	1812	DRD1	P21728	X15225.ENSG00000184845	0.012475	0.470175006616815	0.844920156729106
ENSG00000184857	25880	TMEM186	Q96B77	X15226.ENSG00000184857	0.311511538461539	0.212614007293424	0.706794078462631
ENSG00000184860	93517	SDR42E1	Q8WUS8	X15227.ENSG00000184860	0.204642307692308	0.380609241122986	0.808863101904706
ENSG00000184863	155435	RBM33	Q96EV2	X15228.ENSG00000184863	0.0950673076923069	0.496785408159621	0.856718839542084
ENSG00000184867	9823	ARMCX2	Q7L311	X15229.ENSG00000184867	0.295813461538461	0.218198883716349	0.708057984063263
ENSG00000184887	90135	BTBD6	Q96KE9	X15230.ENSG00000184887	0.102071153846154	0.290602531534764	0.753728635859328
ENSG00000184897	8971	H1FX	Q92522	X15232.ENSG00000184897	-0.469962500000001	0.0482244930244872	0.695259707799364
ENSG00000184898	375287	RBM43	Q6ZSC3	X15233.ENSG00000184898	0.190875961538461	0.387303768922039	0.812496353491456
ENSG00000184900	6612	SUMO3	P55854	X15234.ENSG00000184900	0.0208442307692304	0.810310424760516	0.971585800562366
ENSG00000184903	83943	IMMP2L	Q96T52	X15235.ENSG00000184903	0.0502923076923076	0.848447371622914	0.982551000674752
ENSG00000184905	140597	TCEAL2	Q9H3H9	X15236.ENSG00000184905	0.00773365384615395	0.975533811253567	1
ENSG00000184908	1188	CLCNKB	P51801	X15237.ENSG00000184908	0.0271884615384615	0.108350221428847	0.695259707799364
ENSG00000184911	728656	DMRTC1B	Q5HYR2	X15238.ENSG00000184911	-0.106667307692308	0.370474473838315	0.801913362452037
ENSG00000184916	3714	JAG2	Q9Y219	X15239.ENSG00000184916	0.226639423076923	0.230126339285622	0.71345015228477
ENSG00000184922	752	FMNL1	O95466	X15240.ENSG00000184922	0.124997115384614	0.456118970834337	0.842419718719711
ENSG00000184923	728118	NUTM2A	Q8IVF1	X15241.ENSG00000184923	0.150308653846154	0.313545255876891	0.767847462089079
ENSG00000184924	391356	PTRHD1	Q6GMV3	X15242.ENSG00000184924	-0.0199028846153849	0.880443950798051	0.993321591877028
ENSG00000184925	286256	LCN12	Q6JVE5	X15243.ENSG00000184925	0.284756730769231	0.192931006361407	0.706794078462631
ENSG00000184933	8590	OR6A2	O95222	X15244.ENSG00000184933	0	1	1
ENSG00000184937	7490	WT1	P19544	X15245.ENSG00000184937	0.094875	0.0375909396020954	0.695259707799364
ENSG00000184939	146198	ZFP90	Q8TF47	X15246.ENSG00000184939	0.184507692307692	0.43827625078267	0.836143919854174
ENSG00000184945	375318	AQP12A	Q8IXF9	X15247.ENSG00000184945	0.0264269230769231	0.065976406598378	0.695259707799364
ENSG00000184949	646851	FAM227A	F5H4B4	X15248.ENSG00000184949	-0.0531576923076924	0.794161961343239	0.967464270428065
ENSG00000184954	390327	OR6C70	A6NIJ9	X15249.ENSG00000184954	0.0562076923076923	0.402284099076978	0.82101972861511
ENSG00000184956	4588	MUC6	Q6W4X9	X15250.ENSG00000184956	0.100546153846154	0.72058944892822	0.94461273533841
